epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,1458.15,1.49172,0.8759,0.82669,0.69157,0.68735,0.70271,0.3876,1.22851,4.06124,0.58642,0.000208,0.000208,0.000208
82,1475.07,1.4967,0.82493,0.82262,0.70333,0.67737,0.66585,0.35513,1.29055,4.23374,0.58905,0.0001981,0.0001981,0.0001981
83,1492.09,1.46387,0.79143,0.82131,0.66303,0.7613,0.69928,0.37165,1.24758,4.71475,0.58622,0.0001882,0.0001882,0.0001882
84,1509.12,1.52946,0.82893,0.82331,0.66525,0.75893,0.71344,0.39493,1.20945,4.28044,0.58301,0.0001783,0.0001783,0.0001783
85,1526.1,1.49868,0.81125,0.82154,0.69444,0.7381,0.70791,0.40011,1.22122,3.99756,0.58315,0.0001684,0.0001684,0.0001684
86,1543.17,1.53265,0.80254,0.81848,0.6664,0.74315,0.7083,0.39929,1.20632,3.98416,0.58225,0.0001585,0.0001585,0.0001585
87,1560.14,1.53246,0.8585,0.81927,0.77912,0.625,0.69404,0.39349,1.20831,3.73684,0.58255,0.0001486,0.0001486,0.0001486
88,1577.07,1.47317,0.78837,0.82262,0.66279,0.70783,0.68925,0.38317,1.21928,4.17837,0.58182,0.0001387,0.0001387,0.0001387
89,1593.97,1.4845,0.8123,0.81472,0.74825,0.61905,0.69293,0.39287,1.19978,3.93601,0.58238,0.0001288,0.0001288,0.0001288
90,1610.9,1.47006,0.80658,0.82063,0.66265,0.77168,0.7257,0.40939,1.17904,3.90942,0.57998,0.0001189,0.0001189,0.0001189
91,1638,1.42466,0.82365,0.82194,0.64698,0.70909,0.68863,0.38002,1.20335,3.82972,0.58234,0.000109,0.000109,0.000109
92,1654.9,1.39279,0.79219,0.82418,0.67301,0.71669,0.70637,0.38698,1.19061,4.05444,0.58229,9.91e-05,9.91e-05,9.91e-05
93,1672.82,1.40773,0.78025,0.82584,0.65717,0.76786,0.71788,0.38971,1.21007,3.85985,0.58299,8.92e-05,8.92e-05,8.92e-05
94,1692.76,1.4108,0.82353,0.8257,0.64577,0.72321,0.70567,0.37949,1.24478,3.43241,0.58592,7.93e-05,7.93e-05,7.93e-05
95,1711.29,1.37713,0.78817,0.81469,0.67531,0.66667,0.68027,0.37144,1.24376,3.77826,0.58634,6.94e-05,6.94e-05,6.94e-05
96,1728.14,1.37436,0.77904,0.82734,0.6421,0.74107,0.69553,0.38882,1.22192,3.79792,0.58237,5.95e-05,5.95e-05,5.95e-05
97,1745.05,1.37521,0.78521,0.81925,0.67814,0.73368,0.71031,0.38977,1.21734,3.67297,0.58189,4.96e-05,4.96e-05,4.96e-05
98,1761.89,1.39468,0.76833,0.82286,0.66417,0.71726,0.69978,0.38846,1.2014,4.09531,0.58114,3.97e-05,3.97e-05,3.97e-05
99,1778.78,1.40662,0.76216,0.82521,0.67273,0.6994,0.69946,0.38825,1.21656,4.01625,0.58352,2.98e-05,2.98e-05,2.98e-05
100,1796.15,1.34698,0.75669,0.81984,0.684,0.68452,0.69963,0.38871,1.22034,3.79541,0.58233,1.99e-05,1.99e-05,1.99e-05
