epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,516.815,1.71036,1.01153,0.84073,0.67856,0.78533,0.68849,0.34795,1.25814,3.76699,0.58412,0.0004555,0.0004555,0.0004555
57,525.881,1.70705,1.00729,0.83679,0.62997,0.65179,0.62561,0.32644,1.33525,3.32171,0.59513,0.0004456,0.0004456,0.0004456
58,534.95,1.64821,0.97368,0.83231,0.68775,0.74075,0.6921,0.34003,1.29041,3.60239,0.58788,0.0004357,0.0004357,0.0004357
59,544.011,1.65713,0.97318,0.83681,0.7202,0.71244,0.69022,0.35708,1.29725,3.36199,0.58956,0.0004258,0.0004258,0.0004258
60,553.171,1.62448,0.93642,0.83054,0.71014,0.73214,0.70628,0.35744,1.26996,4.56225,0.58712,0.0004159,0.0004159,0.0004159
61,562.249,1.69099,0.96184,0.82982,0.63511,0.7381,0.67143,0.33574,1.28287,3.98446,0.58708,0.000406,0.000406,0.000406
62,571.374,1.68895,1.01537,0.83587,0.67712,0.69048,0.65943,0.33421,1.28396,3.39431,0.58627,0.0003961,0.0003961,0.0003961
63,580.468,1.66778,0.96613,0.82421,0.67148,0.75433,0.6764,0.35288,1.22452,3.34655,0.5828,0.0003862,0.0003862,0.0003862
64,589.599,1.69729,0.93351,0.83539,0.71571,0.71726,0.67944,0.34825,1.30341,4.1045,0.58562,0.0003763,0.0003763,0.0003763
65,598.787,1.63385,0.90831,0.83117,0.65738,0.77381,0.69942,0.37284,1.26881,3.56882,0.5853,0.0003664,0.0003664,0.0003664
66,607.915,1.66248,0.94768,0.83023,0.69362,0.75595,0.70328,0.35524,1.23487,3.79665,0.58489,0.0003565,0.0003565,0.0003565
67,617.02,1.63345,0.88149,0.82978,0.66997,0.72619,0.68618,0.36023,1.24969,4.06239,0.58198,0.0003466,0.0003466,0.0003466
68,626.083,1.69707,0.94447,0.83346,0.68932,0.80655,0.71607,0.36995,1.23149,4.20279,0.58155,0.0003367,0.0003367,0.0003367
69,635.189,1.60495,0.86838,0.82386,0.64534,0.71429,0.66025,0.33615,1.29947,4.44023,0.5889,0.0003268,0.0003268,0.0003268
70,644.364,1.6059,0.8711,0.82942,0.71815,0.75833,0.71228,0.37739,1.21401,3.69571,0.58144,0.0003169,0.0003169,0.0003169
71,653.478,1.62622,0.93545,0.82288,0.69365,0.78571,0.73525,0.38195,1.24473,3.80601,0.58285,0.000307,0.000307,0.000307
72,662.658,1.61826,0.91676,0.82379,0.67986,0.75845,0.70201,0.35179,1.29716,4.54425,0.58766,0.0002971,0.0002971,0.0002971
73,671.741,1.57239,0.87083,0.82499,0.68543,0.78467,0.72385,0.39009,1.20612,4.38183,0.58033,0.0002872,0.0002872,0.0002872
74,680.867,1.61643,0.88174,0.82238,0.72203,0.76786,0.72644,0.37692,1.2353,4.60889,0.58165,0.0002773,0.0002773,0.0002773
75,690.004,1.57535,0.87836,0.82002,0.70624,0.77679,0.73416,0.38902,1.28898,4.17998,0.58765,0.0002674,0.0002674,0.0002674
76,699.132,1.59919,0.87191,0.8273,0.69157,0.73214,0.70571,0.37538,1.24516,3.96778,0.58252,0.0002575,0.0002575,0.0002575
77,708.231,1.591,0.88816,0.82608,0.68289,0.76268,0.70506,0.36519,1.23969,4.42689,0.57921,0.0002476,0.0002476,0.0002476
78,717.299,1.57445,0.87187,0.82315,0.6714,0.77381,0.6947,0.3697,1.21642,4.37724,0.57831,0.0002377,0.0002377,0.0002377
79,726.383,1.54202,0.83635,0.81865,0.69544,0.71726,0.70821,0.3817,1.18934,4.01423,0.57774,0.0002278,0.0002278,0.0002278
80,735.578,1.55264,0.88997,0.82888,0.6965,0.72024,0.7065,0.37246,1.17848,4.21719,0.57935,0.0002179,0.0002179,0.0002179
81,744.667,1.5614,0.90235,0.82887,0.70302,0.70536,0.71064,0.38369,1.18766,4.21545,0.57732,0.000208,0.000208,0.000208
82,753.801,1.54157,0.82336,0.82269,0.68287,0.75595,0.71063,0.37828,1.21994,4.69156,0.57882,0.0001981,0.0001981,0.0001981
83,762.86,1.51138,0.79956,0.82118,0.70223,0.75102,0.70671,0.38024,1.19927,5.12355,0.57911,0.0001882,0.0001882,0.0001882
84,771.922,1.5514,0.83899,0.82575,0.66817,0.73711,0.68521,0.37362,1.187,4.63833,0.57595,0.0001783,0.0001783,0.0001783
85,781.027,1.53762,0.82164,0.82248,0.72007,0.76786,0.72724,0.38393,1.19105,4.46445,0.58032,0.0001684,0.0001684,0.0001684
86,790.089,1.58229,0.81089,0.81985,0.69715,0.80156,0.72651,0.39672,1.19738,4.35189,0.57976,0.0001585,0.0001585,0.0001585
87,799.187,1.56642,0.86089,0.81943,0.71019,0.76579,0.72293,0.40117,1.18155,4.47808,0.57737,0.0001486,0.0001486,0.0001486
88,808.295,1.50158,0.81472,0.82349,0.71706,0.70536,0.70333,0.38191,1.22572,4.69274,0.57979,0.0001387,0.0001387,0.0001387
89,817.371,1.53437,0.83963,0.81658,0.73517,0.70226,0.71225,0.38246,1.18281,4.2949,0.57787,0.0001288,0.0001288,0.0001288
90,826.471,1.5146,0.81719,0.82166,0.67521,0.74702,0.70608,0.38904,1.18901,4.23038,0.57842,0.0001189,0.0001189,0.0001189
91,845.576,1.48002,0.82676,0.82437,0.65709,0.6875,0.65759,0.35195,1.26481,3.86447,0.58148,0.000109,0.000109,0.000109
92,854.63,1.43303,0.80428,0.82524,0.72713,0.73512,0.70952,0.37614,1.2156,4.97448,0.57859,9.91e-05,9.91e-05,9.91e-05
93,863.638,1.47291,0.80454,0.8292,0.70039,0.74107,0.69985,0.37874,1.25806,4.03558,0.57999,8.92e-05,8.92e-05,8.92e-05
94,872.638,1.46254,0.8479,0.82482,0.68348,0.74107,0.70541,0.38249,1.26643,3.55279,0.58172,7.93e-05,7.93e-05,7.93e-05
95,881.742,1.43361,0.8069,0.81863,0.68271,0.71081,0.68134,0.36885,1.28549,4.09632,0.58298,6.94e-05,6.94e-05,6.94e-05
96,890.782,1.41308,0.79952,0.8282,0.69186,0.71429,0.69043,0.36928,1.29054,4.03832,0.58491,5.95e-05,5.95e-05,5.95e-05
97,899.804,1.42272,0.79556,0.82107,0.69821,0.73512,0.6967,0.38018,1.24891,4.16263,0.58194,4.96e-05,4.96e-05,4.96e-05
98,908.807,1.45118,0.80949,0.82455,0.69922,0.72647,0.69642,0.37355,1.26371,4.27497,0.58174,3.97e-05,3.97e-05,3.97e-05
99,917.809,1.42991,0.77757,0.82598,0.66777,0.75298,0.69322,0.3762,1.26887,4.14387,0.58217,2.98e-05,2.98e-05,2.98e-05
100,926.885,1.40855,0.77501,0.82217,0.67689,0.72321,0.68955,0.3717,1.27059,4.05522,0.58206,1.99e-05,1.99e-05,1.99e-05
