epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,663.936,1.69702,0.93232,0.83374,0.71846,0.71429,0.70512,0.34766,1.32785,4.47445,0.5899,0.0001189,0.0001189,0.0001189
91,682.082,1.62844,0.95075,0.83497,0.68099,0.73062,0.6928,0.34673,1.33579,4.02755,0.58991,0.000109,0.000109,0.000109
92,689.664,1.62024,0.92354,0.83655,0.70949,0.72917,0.69853,0.34679,1.33726,4.90286,0.58987,9.91e-05,9.91e-05,9.91e-05
93,697.053,1.62024,0.89583,0.84249,0.67698,0.72619,0.68786,0.34409,1.32786,4.3978,0.58785,8.92e-05,8.92e-05,8.92e-05
94,704.587,1.63664,0.97421,0.83934,0.67956,0.72619,0.69027,0.34493,1.30722,4.11207,0.58658,7.93e-05,7.93e-05,7.93e-05
95,712.121,1.6054,0.92393,0.82945,0.74424,0.67262,0.6936,0.34609,1.3151,4.39499,0.58715,6.94e-05,6.94e-05,6.94e-05
96,722.556,1.5614,0.89845,0.83848,0.70034,0.74425,0.70676,0.35867,1.31209,4.08827,0.58673,5.95e-05,5.95e-05,5.95e-05
97,729.325,1.59961,0.91095,0.83269,0.69273,0.74405,0.70358,0.35311,1.31876,4.10338,0.58862,4.96e-05,4.96e-05,4.96e-05
98,735.711,1.62533,0.90507,0.83559,0.7022,0.72619,0.70762,0.35162,1.31815,4.31871,0.58811,3.97e-05,3.97e-05,3.97e-05
99,743.341,1.58544,0.87796,0.83869,0.71174,0.72014,0.70807,0.35532,1.2977,4.26465,0.58594,2.98e-05,2.98e-05,2.98e-05
100,751.153,1.57142,0.87476,0.83386,0.71784,0.70415,0.70683,0.35217,1.30605,4.19458,0.58642,1.99e-05,1.99e-05,1.99e-05
